É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2023/05/31 13:19:27

,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy
2008/7/16,24.8,8,1,20.8,8,1,79,8,1
2008/7/17,21.0,8,1,19.2,8,1,83,8,1
2008/7/18,26.4,8,1,22.1,8,1,82,8,1
2008/7/19,25.4,8,1,21.7,8,1,83,8,1
2008/7/20,23.6,8,1,21.0,8,1,81,8,1
2008/7/21,26.2,8,1,21.6,8,1,77,8,1
2008/7/22,22.3,8,1,20.0,8,1,80,8,1
2008/7/23,25.7,8,1,22.2,8,1,83,8,1
2008/7/24,26.4,8,1,22.2,8,1,79,8,1
2008/7/25,23.5,8,1,21.0,8,1,77,8,1
2008/7/26,24.5,8,1,21.0,8,1,72,8,1
2008/7/27,26.7,8,1,22.0,8,1,69,8,1
2008/7/28,22.0,8,1,20.3,8,1,77,8,1
2008/7/29,28.5,8,1,23.1,8,1,68,8,1
2008/7/30,27.5,8,1,21.6,8,1,64,8,1
2008/7/31,25.5,8,1,21.1,8,1,73,8,1
2008/8/1,27.5,8,1,22.7,8,1,74,8,1
2008/8/2,22.3,8,1,21.3,8,1,83,8,1
2008/8/3,25.3,8,1,21.6,8,1,86,8,1
2008/8/4,29.4,8,1,22.8,8,1,71,8,1
2008/8/5,30.7,8,1,24.1,8,1,57,8,1
2008/8/6,31.0,8,1,24.5,8,1,66,8,1
2008/8/7,28.8,8,1,24.1,8,1,72,8,1
2008/8/8,28.7,8,1,22.6,8,1,65,8,1
2008/8/9,23.8,8,1,21.1,8,1,63,8,1
2008/8/10,27.0,8,1,21.4,8,1,62,8,1
2008/8/11,27.7,8,1,22.2,8,1,65,8,1
2008/8/12,28.0,8,1,23.2,8,1,69,8,1
2008/8/13,29.0,8,1,23.8,8,1,70,8,1
2008/8/14,24.7,8,1,22.9,8,1,75,8,1
2008/8/15,24.4,8,1,21.6,8,1,88,8,1
2008/8/16,23.7,8,1,19.9,8,1,75,8,1
2008/8/17,24.7,8,1,20.2,8,1,59,8,1
2008/8/18,26.2,8,1,20.9,8,1,67,8,1
2008/8/19,25.5,8,1,21.2,8,1,74,8,1
2008/8/20,22.2,8,1,19.0,8,1,65,8,1
2008/8/21,22.5,8,1,17.9,8,1,62,8,1
2008/8/22,23.7,8,1,18.3,8,1,64,8,1
2008/8/23,20.1,8,1,16.8,8,1,63,8,1
2008/8/24,19.9,8,1,17.4,8,1,67,8,1
2008/8/25,24.4,8,1,19.7,8,1,66,8,1
2008/8/26,24.9,8,1,20.2,8,1,60,8,1
2008/8/27,20.9,8,1,18.6,8,1,86,8,1
2008/8/28,25.5,8,1,22.4,8,1,80,8,1
2008/8/29,24.5,8,1,21.9,8,1,89,8,1
2008/8/30,23.6,8,1,21.1,8,1,86,8,1
2008/8/31,27.8,8,1,21.4,8,1,80,8,1
2008/9/1,28.2,8,1,23.1,8,1,78,8,1
2008/9/2,29.2,8,1,24.2,8,1,73,8,1
2008/9/3,27.6,8,1,22.5,8,1,83,8,1
2008/9/4,27.0,8,1,22.1,8,1,67,8,1
2008/9/5,27.8,8,1,22.7,8,1,72,8,1
2008/9/6,27.7,8,1,23.4,8,1,77,8,1
2008/9/7,24.0,8,1,21.6,8,1,86,8,1
2008/9/8,25.9,8,1,20.7,8,1,72,8,1
2008/9/9,25.5,8,1,20.6,8,1,57,8,1
2008/9/10,27.5,8,1,20.8,8,1,54,8,1
2008/9/11,25.7,8,1,20.9,8,1,64,8,1
2008/9/12,23.5,8,1,20.7,8,1,71,8,1
2008/9/13,27.4,8,1,22.1,8,1,70,8,1
2008/9/14,25.2,8,1,20.1,8,1,59,8,1
2008/9/15,23.8,8,1,18.4,8,1,63,8,1
2008/9/16,26.6,8,1,20.1,8,1,62,8,1
2008/9/17,24.9,8,1,20.9,8,1,60,8,1
2008/9/18,28.4,8,1,21.9,8,1,66,8,1
2008/9/19,24.8,8,1,20.3,8,1,60,8,1
2008/9/20,24.3,8,1,17.3,8,1,56,8,1
2008/9/21,24.3,8,1,18.5,8,1,71,8,1
2008/9/22,26.2,8,1,19.6,8,1,65,8,1
2008/9/23,23.2,8,1,18.1,8,1,56,8,1
2008/9/24,18.6,8,1,15.2,8,1,37,8,1
2008/9/25,18.0,8,1,14.5,8,1,62,8,1
2008/9/26,18.6,8,1,13.1,8,1,65,8,1
2008/9/27,14.4,8,1,11.6,8,1,56,8,1
2008/9/28,17.9,8,1,13.0,8,1,59,8,1
2008/9/29,19.9,8,1,13.6,8,1,55,8,1
2008/9/30,20.6,8,1,14.3,8,1,62,8,1
2009/5/1,19.2,8,1,13.3,8,1,55,8,1
2009/5/2,22.1,8,1,14.9,8,1,50,8,1
2009/5/3,19.7,8,1,16.3,8,1,53,8,1
2009/5/4,23.8,8,1,17.3,8,1,52,8,1
2009/5/5,19.7,8,1,11.8,8,1,77,8,1
2009/5/6,22.5,8,1,13.5,8,1,51,8,1
2009/5/7,23.5,8,1,15.8,8,1,63,8,1
2009/5/8,18.8,8,1,13.2,8,1,53,8,1
2009/5/9,23.8,8,1,15.3,8,1,36,8,1
2009/5/10,16.3,8,1,12.6,8,1,72,8,1
2009/5/11,14.3,8,1,11.6,8,1,63,8,1
2009/5/12,16.2,8,1,11.3,8,1,75,8,1
2009/5/13,15.2,8,1,11.6,8,1,57,8,1
2009/5/14,14.0,8,1,8.7,8,1,55,8,1
2009/5/15,12.5,8,1,8.3,8,1,57,8,1
2009/5/16,19.6,8,1,12.0,8,1,52,8,1
2009/5/17,18.1,8,1,12.5,8,1,66,8,1
2009/5/18,20.2,8,1,15.3,8,1,56,8,1
2009/5/19,22.7,8,1,17.7,8,1,38,8,1
2009/5/20,23.3,8,1,17.3,8,1,42,8,1
2009/5/21,28.4,8,1,19.7,8,1,37,8,1
2009/5/22,20.0,8,1,16.7,8,1,67,8,1
2009/5/23,17.2,8,1,14.5,8,1,86,8,1
2009/5/24,16.5,8,1,12.5,8,1,81,8,1
2009/5/25,15.4,8,1,12.3,8,1,62,8,1
2009/5/26,18.6,8,1,13.9,8,1,65,8,1
2009/5/27,17.8,8,1,14.2,8,1,64,8,1
2009/5/28,20.6,8,1,14.9,8,1,72,8,1
2009/5/29,22.3,8,1,15.2,8,1,67,8,1
2009/5/30,17.4,8,1,13.4,8,1,70,8,1
2009/5/31,14.8,8,1,13.3,8,1,88,8,1
2009/6/1,18.4,8,1,14.3,8,1,80,8,1
2009/6/2,16.7,8,1,13.8,8,1,76,8,1
2009/6/3,25.0,8,1,18.2,8,1,66,8,1
2009/6/4,20.4,8,1,16.6,8,1,74,8,1
2009/6/5,21.2,8,1,16.8,8,1,80,8,1
2009/6/6,20.6,8,1,18.0,8,1,65,8,1
2009/6/7,17.8,8,1,16.2,8,1,81,8,1
2009/6/8,19.9,8,1,15.6,8,1,81,8,1
2009/6/9,22.9,8,1,16.3,8,1,75,8,1
2009/6/10,22.4,8,1,17.2,8,1,73,8,1
2009/6/11,17.6,8,1,15.7,8,1,84,8,1
2009/6/12,23.9,8,1,18.3,8,1,67,8,1
2009/6/13,15.9,8,1,14.2,8,1,75,8,1
2009/6/14,13.6,8,1,12.9,8,1,84,8,1
2009/6/15,17.1,8,1,14.2,8,1,81,8,1
2009/6/16,16.4,8,1,13.4,8,1,86,8,1
2009/6/17,18.4,8,1,14.1,8,1,76,8,1
2009/6/18,18.9,8,1,14.4,8,1,70,8,1
2009/6/19,20.6,8,1,15.3,8,1,71,8,1
2009/6/20,18.7,8,1,15.9,8,1,74,8,1
2009/6/21,22.4,8,1,18.2,8,1,75,8,1
2009/6/22,22.6,8,1,18.7,8,1,77,8,1
2009/6/23,27.8,8,1,21.1,8,1,66,8,1
2009/6/24,27.0,8,1,22.3,8,1,52,8,1
2009/6/25,31.2,8,1,23.5,8,1,53,8,1
2009/6/26,28.7,8,1,23.3,8,1,58,8,1
2009/6/27,26.1,8,1,20.9,8,1,68,8,1
2009/6/28,28.2,8,1,22.6,8,1,59,8,1
2009/6/29,27.1,8,1,22.8,8,1,52,8,1
2009/6/30,22.1,8,1,19.8,8,1,69,8,1
2009/7/1,23.3,8,1,19.4,8,1,75,8,1
2009/7/2,21.7,8,1,18.5,8,1,80,8,1
2009/7/3,18.1,8,1,17.1,8,1,85,8,1
2009/7/4,23.2,8,1,18.5,8,1,79,8,1
2009/7/5,25.2,8,1,20.2,8,1,74,8,1
2009/7/6,25.9,8,1,20.6,8,1,74,8,1
2009/7/7,29.1,8,1,23.1,8,1,67,8,1
2009/7/8,23.7,8,1,20.7,8,1,83,8,1
2009/7/9,28.3,8,1,22.4,8,1,72,8,1
2009/7/10,20.9,8,1,17.6,8,1,86,8,1
2009/7/11,19.1,8,1,17.1,8,1,77,8,1
2009/7/12,24.8,8,1,20.8,8,1,72,8,1
2009/7/13,20.0,8,1,18.7,8,1,87,8,1
2009/7/14,21.7,8,1,19.4,8,1,81,8,1
2009/7/15,22.9,8,1,19.4,8,1,84,8,1
2009/7/16,20.5,8,1,18.1,8,1,77,8,1
2009/7/17,21.9,8,1,18.4,8,1,72,8,1
2009/7/18,19.3,8,1,17.7,8,1,75,8,1
2009/7/19,18.3,8,1,17.0,8,1,93,8,1
2009/7/20,19.7,8,1,16.7,8,1,76,8,1
2009/7/21,21.1,8,1,17.8,8,1,75,8,1
2009/7/22,22.6,8,1,18.5,8,1,78,8,1
2009/7/23,23.6,8,1,19.8,8,1,76,8,1
2009/7/24,26.4,8,1,21.8,8,1,76,8,1
2009/7/25,24.4,8,1,21.4,8,1,88,8,1
2009/7/26,25.4,8,1,22.1,8,1,87,8,1
2009/7/27,25.4,8,1,22.1,8,1,83,8,1
2009/7/28,23.4,8,1,20.5,8,1,88,8,1
2009/7/29,24.3,8,1,21.1,8,1,83,8,1
2009/7/30,24.4,8,1,21.1,8,1,81,8,1
2009/7/31,26.1,8,1,22.0,8,1,78,8,1
2009/8/1,27.8,8,1,22.1,8,1,74,8,1
2009/8/2,21.4,8,1,19.6,8,1,84,8,1
2009/8/3,22.5,8,1,20.7,8,1,82,8,1
2009/8/4,27.1,8,1,21.8,8,1,74,8,1
2009/8/5,27.3,8,1,22.4,8,1,77,8,1
2009/8/6,26.7,8,1,22.0,8,1,76,8,1
2009/8/7,26.8,8,1,22.6,8,1,76,8,1
2009/8/8,28.8,8,1,23.5,8,1,74,8,1
2009/8/9,28.9,8,1,23.6,8,1,74,8,1
2009/8/10,30.9,8,1,24.3,8,1,72,8,1
2009/8/11,30.4,8,1,24.7,8,1,74,8,1
2009/8/12,30.1,8,1,24.6,8,1,65,8,1
2009/8/13,22.5,8,1,20.7,8,1,86,8,1
2009/8/14,24.6,8,1,22.0,8,1,79,8,1
2009/8/15,27.9,8,1,23.3,8,1,75,8,1
2009/8/16,26.3,8,1,22.8,8,1,75,8,1
2009/8/17,23.8,8,1,21.0,8,1,80,8,1
2009/8/18,25.0,8,1,21.4,8,1,74,8,1
2009/8/19,20.9,8,1,19.7,8,1,82,8,1
2009/8/20,23.4,8,1,20.8,8,1,81,8,1
2009/8/21,29.7,8,1,24.4,8,1,62,8,1
2009/8/22,28.0,8,1,23.6,8,1,55,8,1
2009/8/23,22.8,8,1,20.4,8,1,70,8,1
2009/8/24,22.1,8,1,18.1,8,1,77,8,1
2009/8/25,22.9,8,1,18.8,8,1,71,8,1
2009/8/26,25.1,8,1,20.0,8,1,65,8,1
2009/8/27,20.4,8,1,19.5,8,1,83,8,1
2009/8/28,23.9,8,1,20.8,8,1,82,8,1
2009/8/29,22.3,8,1,19.2,8,1,57,8,1
2009/8/30,21.5,8,1,18.4,8,1,57,8,1
2009/8/31,21.9,8,1,18.5,8,1,64,8,1
2009/9/1,25.0,8,1,20.1,8,1,59,8,1
2009/9/2,26.0,8,1,19.8,8,1,63,8,1
2009/9/3,23.2,8,1,18.9,8,1,65,8,1
2009/9/4,21.4,8,1,19.2,8,1,73,8,1
2009/9/5,24.1,8,1,20.3,8,1,81,8,1
2009/9/6,25.5,8,1,20.7,8,1,72,8,1
2009/9/7,23.1,8,1,20.1,8,1,82,8,1
2009/9/8,21.8,8,1,18.3,8,1,60,8,1
2009/9/9,20.5,8,1,17.0,8,1,57,8,1
2009/9/10,20.5,8,1,16.9,8,1,61,8,1
2009/9/11,23.8,8,1,18.3,8,1,53,8,1
2009/9/12,24.7,8,1,19.3,8,1,62,8,1
2009/9/13,21.5,8,1,18.3,8,1,72,8,1
2009/9/14,25.2,8,1,19.1,8,1,66,8,1
2009/9/15,22.2,8,1,18.1,8,1,74,8,1
2009/9/16,21.7,8,1,17.5,8,1,74,8,1
2009/9/17,22.9,8,1,17.0,8,1,67,8,1
2009/9/18,23.7,8,1,17.5,8,1,63,8,1
2009/9/19,21.6,8,1,17.0,8,1,69,8,1
2009/9/20,19.8,8,1,15.5,8,1,54,8,1
2009/9/21,16.7,8,1,13.6,8,1,59,8,1
2009/9/22,22.2,8,1,17.7,8,1,73,8,1
2009/9/23,24.4,8,1,17.7,8,1,69,8,1
2009/9/24,19.8,8,1,16.9,8,1,79,8,1
2009/9/25,23.2,8,1,18.1,8,1,69,8,1
2009/9/26,19.2,8,1,16.2,8,1,60,8,1
2009/9/27,21.0,8,1,15.2,8,1,61,8,1
2009/9/28,17.9,8,1,16.1,8,1,81,8,1
2009/9/29,20.6,8,1,16.9,8,1,68,8,1
2009/9/30,22.9,8,1,17.9,8,1,50,8,1
2010/5/1,14.4,8,1,11.2,8,1,53,8,1
2010/5/2,19.8,8,1,13.6,8,1,48,8,1
2010/5/3,20.9,8,1,14.8,8,1,56,8,1
2010/5/4,19.6,8,1,14.8,8,1,45,8,1
2010/5/5,20.2,8,1,12.9,8,1,53,8,1
2010/5/6,19.2,8,1,14.2,8,1,50,8,1
2010/5/7,16.4,8,1,12.7,8,1,71,8,1
2010/5/8,12.7,8,1,8.5,8,1,83,8,1
2010/5/9,11.4,8,1,8.1,8,1,75,8,1
2010/5/10,11.4,8,1,8.1,8,1,70,8,1
2010/5/11,13.1,8,1,10.0,8,1,66,8,1
2010/5/12,10.7,8,1,8.5,8,1,87,8,1
2010/5/13,9.2,8,1,7.6,8,1,80,8,1
2010/5/14,11.2,8,1,7.8,8,1,69,8,1
2010/5/15,19.5,8,1,11.3,8,1,59,8,1
2010/5/16,20.6,8,1,14.0,8,1,55,8,1
2010/5/17,24.9,8,1,16.7,8,1,50,8,1
2010/5/18,21.5,8,1,15.8,8,1,57,8,1
2010/5/19,21.3,8,1,16.4,8,1,58,8,1
2010/5/20,15.4,8,1,13.6,8,1,82,8,1
2010/5/21,16.7,8,1,11.8,8,1,84,8,1
2010/5/22,19.7,8,1,13.2,8,1,78,8,1
2010/5/23,20.5,8,1,15.3,8,1,68,8,1
2010/5/24,16.1,8,1,13.3,8,1,82,8,1
2010/5/25,14.4,8,1,12.6,8,1,79,8,1
2010/5/26,18.3,8,1,13.4,8,1,58,8,1
2010/5/27,12.4,8,1,9.8,8,1,76,8,1
2010/5/28,11.7,8,1,10.0,8,1,72,8,1
2010/5/29,17.3,8,1,12.4,8,1,53,8,1
2010/5/30,17.9,8,1,13.1,8,1,49,8,1
2010/5/31,22.0,8,1,14.1,8,1,54,8,1
2010/6/1,23.1,8,1,14.4,8,1,61,8,1
2010/6/2,17.7,8,1,13.3,8,1,73,8,1
2010/6/3,15.9,8,1,12.5,8,1,88,8,1
2010/6/4,13.6,8,1,11.7,8,1,88,8,1
2010/6/5,20.9,8,1,14.0,8,1,76,8,1
2010/6/6,22.9,8,1,16.0,8,1,68,8,1
2010/6/7,19.5,8,1,15.5,8,1,79,8,1
2010/6/8,26.7,8,1,19.4,8,1,58,8,1
2010/6/9,22.8,8,1,17.6,8,1,68,8,1
2010/6/10,24.8,8,1,18.4,8,1,73,8,1
2010/6/11,26.2,8,1,19.6,8,1,69,8,1
2010/6/12,27.7,8,1,18.3,8,1,74,8,1
2010/6/13,28.0,8,1,20.9,8,1,65,8,1
2010/6/14,27.1,8,1,20.3,8,1,70,8,1
2010/6/15,25.6,8,1,20.3,8,1,69,8,1
2010/6/16,20.6,8,1,18.2,8,1,82,8,1
2010/6/17,20.4,8,1,17.3,8,1,87,8,1
2010/6/18,27.2,8,1,20.9,8,1,73,8,1
2010/6/19,28.0,8,1,21.7,8,1,72,8,1
2010/6/20,24.0,8,1,20.1,8,1,76,8,1
2010/6/21,23.9,8,1,20.8,8,1,81,8,1
2010/6/22,27.8,8,1,21.3,8,1,76,8,1
2010/6/23,22.8,8,1,19.9,8,1,77,8,1
2010/6/24,20.4,8,1,16.9,8,1,86,8,1
2010/6/25,29.3,8,1,22.0,8,1,62,8,1
2010/6/26,31.3,8,1,25.0,8,1,54,8,1
2010/6/27,29.1,8,1,24.4,8,1,62,8,1
2010/6/28,31.6,8,1,26.1,8,1,65,8,1
2010/6/29,31.4,8,1,24.6,8,1,66,8,1
2010/6/30,27.9,8,1,24.1,8,1,71,8,1
2010/7/1,24.1,8,1,22.0,8,1,84,8,1
2010/7/2,28.5,8,1,23.7,8,1,77,8,1
2010/7/3,28.2,8,1,24.2,8,1,75,8,1
2010/7/4,29.1,8,1,24.3,8,1,72,8,1
2010/7/5,22.4,8,1,20.8,8,1,84,8,1
2010/7/6,22.4,8,1,20.6,8,1,83,8,1
2010/7/7,24.1,8,1,21.5,8,1,80,8,1
2010/7/8,23.6,8,1,20.4,8,1,83,8,1
2010/7/9,25.5,8,1,21.5,8,1,80,8,1
2010/7/10,23.5,8,1,21.6,8,1,82,8,1
2010/7/11,23.9,8,1,20.7,8,1,80,8,1
2010/7/12,20.7,8,1,18.0,8,1,90,8,1
2010/7/13,24.5,8,1,18.8,8,1,77,8,1
2010/7/14,23.5,8,1,20.4,8,1,76,8,1
2010/7/15,26.3,8,1,21.5,8,1,75,8,1
2010/7/16,28.6,8,1,22.5,8,1,73,8,1
2010/7/17,28.1,8,1,23.6,8,1,72,8,1
2010/7/18,32.0,8,1,25.1,8,1,75,8,1
2010/7/19,27.6,8,1,24.5,8,1,82,8,1
2010/7/20,23.6,8,1,21.9,8,1,88,8,1
2010/7/21,30.4,8,1,24.8,8,1,74,8,1
2010/7/22,24.1,8,1,21.2,8,1,79,8,1
2010/7/23,26.5,8,1,21.5,8,1,87,8,1
2010/7/24,23.4,8,1,20.0,8,1,85,8,1
2010/7/25,26.3,8,1,21.4,8,1,71,8,1
2010/7/26,25.2,8,1,21.3,8,1,77,8,1
2010/7/27,25.3,8,1,23.1,8,1,82,8,1
2010/7/28,28.2,8,1,25.4,8,1,74,8,1
2010/7/29,24.8,8,1,22.5,8,1,85,8,1
2010/7/30,25.8,8,1,22.2,8,1,87,8,1
2010/7/31,29.2,8,1,24.4,8,1,74,8,1
2010/8/1,27.7,8,1,22.7,8,1,84,8,1
2010/8/2,26.9,8,1,22.2,8,1,71,8,1
2010/8/3,27.0,8,1,23.3,8,1,66,8,1
2010/8/4,26.7,8,1,23.3,8,1,75,8,1
2010/8/5,31.9,8,1,26.4,8,1,72,8,1
2010/8/6,32.3,8,1,28.8,8,1,68,8,1
2010/8/7,30.5,8,1,27.1,8,1,77,8,1
2010/8/8,28.7,8,1,25.1,8,1,84,8,1
2010/8/9,30.2,8,1,26.4,8,1,77,8,1
2010/8/10,30.7,8,1,26.5,8,1,73,8,1
2010/8/11,27.7,8,1,24.4,8,1,85,8,1
2010/8/12,26.0,8,1,22.8,8,1,84,8,1
2010/8/13,30.2,8,1,25.3,8,1,66,8,1
2010/8/14,30.2,8,1,25.4,8,1,68,8,1
2010/8/15,27.0,8,1,23.8,8,1,76,8,1
2010/8/16,29.2,8,1,24.9,8,1,78,8,1
2010/8/17,27.7,8,1,24.3,8,1,72,8,1
2010/8/18,30.2,8,1,24.0,8,1,68,8,1
2010/8/19,31.3,8,1,25.2,8,1,62,8,1
2010/8/20,28.1,8,1,24.1,8,1,67,8,1
2010/8/21,29.7,8,1,25.7,8,1,72,8,1
2010/8/22,30.7,8,1,25.8,8,1,79,8,1
2010/8/23,27.4,8,1,23.8,8,1,80,8,1
2010/8/24,24.5,8,1,22.9,8,1,85,8,1
2010/8/25,27.6,8,1,23.4,8,1,73,8,1
2010/8/26,26.6,8,1,23.1,8,1,69,8,1
2010/8/27,28.3,8,1,23.4,8,1,63,8,1
2010/8/28,29.5,8,1,24.4,8,1,53,8,1
2010/8/29,30.0,8,1,25.5,8,1,67,8,1
2010/8/30,34.1,8,1,28.1,8,1,67,8,1
2010/8/31,32.5,8,1,27.6,8,1,70,8,1
2010/9/1,31.7,8,1,27.1,8,1,68,8,1
2010/9/2,29.6,8,1,25.8,8,1,71,8,1
2010/9/3,25.1,8,1,23.4,8,1,86,8,1
2010/9/4,28.0,8,1,24.0,8,1,62,8,1
2010/9/5,28.2,8,1,25.0,8,1,71,8,1
2010/9/6,30.8,8,1,26.3,8,1,71,8,1
2010/9/7,28.3,8,1,22.0,8,1,65,8,1
2010/9/8,23.2,8,1,20.1,8,1,54,8,1
2010/9/9,25.6,8,1,20.0,8,1,64,8,1
2010/9/10,26.3,8,1,21.3,8,1,62,8,1
2010/9/11,24.3,8,1,21.3,8,1,70,8,1
2010/9/12,27.0,8,1,21.5,8,1,67,8,1
2010/9/13,27.8,8,1,22.0,8,1,62,8,1
2010/9/14,27.0,8,1,21.9,8,1,69,8,1
2010/9/15,26.4,8,1,22.0,8,1,70,8,1
2010/9/16,25.8,8,1,21.4,8,1,70,8,1
2010/9/17,25.8,8,1,22.1,8,1,67,8,1
2010/9/18,25.0,8,1,20.7,8,1,70,8,1
2010/9/19,22.0,8,1,18.1,8,1,78,8,1
2010/9/20,25.3,8,1,18.6,8,1,75,8,1
2010/9/21,22.0,8,1,18.9,8,1,65,8,1
2010/9/22,19.9,8,1,16.1,8,1,42,8,1
2010/9/23,17.6,8,1,14.3,8,1,46,8,1
2010/9/24,17.4,8,1,13.1,8,1,53,8,1
2010/9/25,15.1,8,1,12.1,8,1,57,8,1
2010/9/26,17.3,8,1,12.5,8,1,65,8,1
2010/9/27,21.5,8,1,17.4,8,1,69,8,1
2010/9/28,21.6,8,1,18.6,8,1,80,8,1
2010/9/29,18.3,8,1,15.1,8,1,49,8,1
2010/9/30,22.4,8,1,16.7,8,1,53,8,1
2011/5/1,13.5,8,1,11.0,8,1,84,8,1
2011/5/2,10.3,8,1,6.4,8,1,80,8,1
2011/5/3,9.9,8,1,6.8,8,1,71,8,1
2011/5/4,6.8,8,1,5.5,8,1,84,8,1
2011/5/5,11.2,8,1,7.3,8,1,70,8,1
2011/5/6,15.3,8,1,9.5,8,1,64,8,1
2011/5/7,13.4,8,1,10.9,8,1,80,8,1
2011/5/8,12.8,8,1,9.6,8,1,82,8,1
